input_size	time	Tool Name
1	0.0013718605041503906	OMLIT
1	0.0005991458892822266	TensorFlow (Tokenizer+Encode)
1	2.002716064453125e-05	TensorFlow (Encode)
10	0.00010418891906738281	OMLIT
10	0.00011324882507324219	TensorFlow (Tokenizer+Encode)
10	3.5762786865234375e-05	TensorFlow (Encode)
100	0.0001361370086669922	OMLIT
100	0.0004029273986816406	TensorFlow (Tokenizer+Encode)
100	0.00023293495178222656	TensorFlow (Encode)
1000	0.0004279613494873047	OMLIT
1000	0.003779888153076172	TensorFlow (Tokenizer+Encode)
1000	0.003014087677001953	TensorFlow (Encode)
10000	0.0023229122161865234	OMLIT
10000	0.02860283851623535	TensorFlow (Tokenizer+Encode)
10000	0.0181581974029541	TensorFlow (Encode)
100000	0.019210100173950195	OMLIT
100000	0.3726530075073242	TensorFlow (Tokenizer+Encode)
100000	0.25838184356689453	TensorFlow (Encode)
1000000	0.19826173782348633	OMLIT
1000000	3.3297359943389893	TensorFlow (Tokenizer+Encode)
1000000	2.44283390045166	TensorFlow (Encode)
10000000	2.128995656967163	OMLIT
10000000	30.444807052612305	TensorFlow (Tokenizer+Encode)
10000000	22.25506281852722	TensorFlow (Encode)
100000000	44.107553005218506	OMLIT
100000000	315.63959407806396	TensorFlow (Tokenizer+Encode)
100000000	219.42750096321106	TensorFlow (Encode)
